"future","playerID","firstName","lastName","name","team","logo","playerURL","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Sixth Man","4765","Nickeil","Alexander-Walker","Nickeil Alexander-Walker","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=9","/betting/nba/player/nickeil-alexander-walker-odds-4765","350","0.0",3.5,"15.8","70.00",NA,NA,NA,"350","0.0",3.5,"18.3","70.00",NA,NA,NA,"350","0.0",3.5,"16.7","70.00",NA,NA,NA,"340","0.0",3.4,"16.3","68.00",NA,NA,NA,"350","0.0",3.5,"18.1","70.00",NA,NA,NA,"340","0.0",3.4,"22.8","68.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","350","0.0",3.5,NA,"70.00",2025-12-29
"Sixth Man","5910","Anthony","Black","Anthony Black","ORL","https://content.rotowire.com/images/teamlogo/basketball/100ORL.png?v=9","/betting/nba/player/anthony-black-odds-5910","550","0.0",5.5,"10.9","110.00",NA,NA,NA,"550","0.0",5.5,"12.7","110.00",NA,NA,NA,"600","0.0",6,"10.7","120.00",NA,NA,NA,"600","0.0",6,"10.2","120.00",NA,NA,NA,"550","0.0",5.5,"12.5","110.00",NA,NA,NA,"550","0.0",5.5,"15.4","110.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","600","0.0",6,NA,"120.00",2025-12-29
"Sixth Man","5960","Jaime","Jaquez","Jaime Jaquez","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=9","/betting/nba/player/jaime-jaquez-odds-5960","700","0.0",7,"8.9","140.00",NA,NA,NA,"700","0.0",7,"10.3","140.00",NA,NA,NA,"650","0.0",6.5,"10.0","130.00",NA,NA,NA,"800","0.0",8,"8.0","160.00",NA,NA,NA,"700","0.0",7,"10.2","140.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","800","0.0",8,NA,"160.00",2025-12-29
"Sixth Man","4806","Naz","Reid","Naz Reid","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=9","/betting/nba/player/naz-reid-odds-4806","900","0.0",9,"7.1","180.00",NA,NA,NA,"1000","0.0",10,"7.5","200.00",NA,NA,NA,"800","0.0",8,"8.3","160.00",NA,NA,NA,"950","0.0",9.5,"6.8","190.00",NA,NA,NA,"900","0.0",9,"8.1","180.00",NA,NA,NA,"900","0.0",9,"10.0","180.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","1000","0.0",10,NA,"200.00",2025-12-29
"Sixth Man","6257","Reed","Sheppard","Reed Sheppard","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=9","/betting/nba/player/reed-sheppard-odds-6257","800","0.0",8,"7.9","160.00",NA,NA,NA,"900","0.0",9,"8.2","180.00",NA,NA,NA,"850","0.0",8.5,"7.9","170.00",NA,NA,NA,"1100","0.0",11,"6.0","220.00",NA,NA,NA,"1100","0.0",11,"6.8","220.00",NA,NA,NA,"1000","0.0",10,"9.1","200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","1100","0.0",11,NA,"220.00",2025-12-29
"Sixth Man","6549","Dylan","Harper","Dylan Harper","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=9","/betting/nba/player/dylan-harper-odds-6549","1800","0.0",18,"3.7","360.00",NA,NA,NA,"2500","0.0",25,"3.2","500.00",NA,NA,NA,"1100","0.0",11,"6.3","220.00",NA,NA,NA,"1700","0.0",17,"4.0","340.00",NA,NA,NA,"1750","0.0",17.5,"4.4","350.00",NA,NA,NA,"1400","0.0",14,"6.7","280.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","2500","0.0",25,NA,"500.00",2025-12-29
"Sixth Man","6289","Ajay","Mitchell","Ajay Mitchell","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=9","/betting/nba/player/ajay-mitchell-odds-6289","1800","0.0",18,"3.7","360.00",NA,NA,NA,"2500","0.0",25,"3.2","500.00",NA,NA,NA,"2500","0.0",25,"2.9","500.00",NA,NA,NA,"2000","0.0",20,"3.4","400.00",NA,NA,NA,"2000","0.0",20,"3.9","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","2500","0.0",25,NA,"500.00",2025-12-29
"Sixth Man","5668","Ryan","Rollins","Ryan Rollins","MIL","https://content.rotowire.com/images/teamlogo/basketball/100MIL.png?v=9","/betting/nba/player/ryan-rollins-odds-5668",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2500","0.0",25,"2.8","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","2500","0.0",25,NA,"500.00",2025-12-29
"Sixth Man","4782","Keldon","Johnson","Keldon Johnson","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=9","/betting/nba/player/keldon-johnson-odds-4782","2500","0.0",25,"2.7","500.00",NA,NA,NA,"3000","0.0",30,"2.7","600.00",NA,NA,NA,"2500","0.0",25,"2.9","500.00",NA,NA,NA,"2000","0.0",20,"3.4","400.00",NA,NA,NA,"2000","0.0",20,"3.9","400.00",NA,NA,NA,"2500","0.0",25,"3.9","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","3000","0.0",30,NA,"600.00",2025-12-29
"Sixth Man","3588","Jerami","Grant","Jerami Grant","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=9","/betting/nba/player/jerami-grant-odds-3588","3500","0.0",35,"2.0","700.00",NA,NA,NA,"3000","0.0",30,"2.7","600.00",NA,NA,NA,"3300","0.0",33,"2.2","660.00",NA,NA,NA,"3500","0.0",35,"2.0","700.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,"3000","0.0",30,"3.2","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","3500","0.0",35,NA,"700.00",2025-12-29
"Sixth Man","6297","Cam","Spencer","Cam Spencer","MEM","https://content.rotowire.com/images/teamlogo/basketball/100MEM.png?v=9","/betting/nba/player/cam-spencer-odds-6297","3500","0.0",35,"2.0","700.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","3500","0.0",35,NA,"700.00",2025-12-29
"Sixth Man","5732","Collin","Gillespie","Collin Gillespie","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=9","/betting/nba/player/collin-gillespie-odds-5732","2000","0.0",20,"3.4","400.00",NA,NA,NA,"3500","0.0",35,"2.3","700.00",NA,NA,NA,"4000","0.0",40,"1.8","800.00",NA,NA,NA,"4000","0.0",40,"1.7","800.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","4000","0.0",40,NA,"800.00",2025-12-29
"Sixth Man","5391","Quentin","Grimes","Quentin Grimes","PHI","https://content.rotowire.com/images/teamlogo/basketball/100PHI.png?v=9","/betting/nba/player/quentin-grimes-odds-5391","4000","0.0",40,"1.7","800.00",NA,NA,NA,"3500","0.0",35,"2.3","700.00",NA,NA,NA,"3000","0.0",30,"2.4","600.00",NA,NA,NA,"3500","0.0",35,"2.0","700.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","4000","0.0",40,NA,"800.00",2025-12-29
"Sixth Man","4777","Zion","Williamson","Zion Williamson","NOP","https://content.rotowire.com/images/teamlogo/basketball/100NOP.png?v=9","/betting/nba/player/zion-williamson-odds-4777","4000","0.0",40,"1.7","800.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"3300","0.0",33,"2.2","660.00",NA,NA,NA,"2000","0.0",20,"3.4","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","4000","0.0",40,NA,"800.00",2025-12-29
"Sixth Man","5428","Santi","Aldama","Santi Aldama","MEM","https://content.rotowire.com/images/teamlogo/basketball/100MEM.png?v=9","/betting/nba/player/santi-aldama-odds-5428","5000","0.0",50,"1.4","1,000.00",NA,NA,NA,"2500","0.0",25,"3.2","500.00",NA,NA,NA,"4000","0.0",40,"1.8","800.00",NA,NA,NA,"5000","0.0",50,"1.4","1,000.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"4000","0.0",40,"2.4","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","5000","0.0",50,NA,"1,000.00",2025-12-29
"Sixth Man","5137","Isaiah","Stewart","Isaiah Stewart","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=9","/betting/nba/player/isaiah-stewart-odds-5137","4500","0.0",45,"1.5","900.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"4000","0.0",40,"1.8","800.00",NA,NA,NA,"3500","0.0",35,"2.0","700.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","5000","0.0",50,NA,"1,000.00",2025-12-29
"Sixth Man","5412","Aaron","Wiggins","Aaron Wiggins","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=9","/betting/nba/player/aaron-wiggins-odds-5412","5000","0.0",50,"1.4","1,000.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"5000","0.0",50,"1.5","1,000.00",NA,NA,NA,"5000","0.0",50,"1.4","1,000.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"3500","0.0",35,"2.8","700.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","5000","0.0",50,NA,"1,000.00",2025-12-29
"Sixth Man","4776","De'Andre","Hunter","De'Andre Hunter","CLE","https://content.rotowire.com/images/teamlogo/basketball/100CLE.png?v=9","/betting/nba/player/deandre-hunter-odds-4776","5000","0.0",50,"1.4","1,000.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"4000","0.0",40,"1.8","800.00",NA,NA,NA,"6000","0.0",60,"1.2","1,200.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"3000","0.0",30,"3.2","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","6000","0.0",60,NA,"1,200.00",2025-12-29
"Sixth Man","5402","Miles","McBride","Miles McBride","NYK","https://content.rotowire.com/images/teamlogo/basketball/100NYK.png?v=9","/betting/nba/player/miles-mcbride-odds-5402","5000","0.0",50,"1.4","1,000.00",NA,NA,NA,"6000","0.0",60,"1.4","1,200.00",NA,NA,NA,"4000","0.0",40,"1.8","800.00",NA,NA,NA,"4000","0.0",40,"1.7","800.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"3500","0.0",35,"2.8","700.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","6000","0.0",60,NA,"1,200.00",2025-12-29
"Sixth Man","5118","Onyeka","Okongwu","Onyeka Okongwu","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=9","/betting/nba/player/onyeka-okongwu-odds-5118","5000","0.0",50,"1.4","1,000.00",NA,NA,NA,"3500","0.0",35,"2.3","700.00",NA,NA,NA,"6000","0.0",60,"1.2","1,200.00",NA,NA,NA,"6000","0.0",60,"1.2","1,200.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"4000","0.0",40,"2.4","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","6000","0.0",60,NA,"1,200.00",2025-12-29
"Sixth Man","4373","Anfernee","Simons","Anfernee Simons","BOS","https://content.rotowire.com/images/teamlogo/basketball/100BOS.png?v=9","/betting/nba/player/anfernee-simons-odds-4373","5000","0.0",50,"1.4","1,000.00",NA,NA,NA,"5500","0.0",55,"1.5","1,100.00",NA,NA,NA,"6000","0.0",60,"1.2","1,200.00",NA,NA,NA,"6000","0.0",60,"1.2","1,200.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"5000","0.0",50,"2.0","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","6000","0.0",60,NA,"1,200.00",2025-12-29
"Sixth Man","6275","Kel'el","Ware","Kel'el Ware","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=9","/betting/nba/player/kelel-ware-odds-6275","4500","0.0",45,"1.5","900.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"6000","0.0",60,"1.2","1,200.00",NA,NA,NA,"6000","0.0",60,"1.2","1,200.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","6000","0.0",60,NA,"1,200.00",2025-12-29
